CustomerID,Gender,Age,Annual Income ($),Spending Score (1-100),Profession,Work Experience,Family Size
1,Male,19,15000,39,"Healthcare,Social Work",1,4
2,Male,21,35000,81,Engineer,3,3
3,Female,20,86000,6,Engineer,1,1
4,Female,23,59000,77,Lawyer,0,2
5,Female,31,38000,40,Entertainment,2,6
6,Female,22,58000,76,Artist,0,2
7,Female,35,31000,6,Healthcare,1,3
8,Female,23,84000,94,Healthcare,1,3
9,Male,64,97000,3,Engineer,0,3
10,Female,30,98000,72,Artist,1,4
11,Male,67,7000,14,Engineer,1,3
12,Female,35,93000,99,Healthcare,4,4
13,Female,58,80000,15,Executive,0,5
14,Female,24,91000,77,Lawyer,1,1
15,Male,37,19000,13,Doctor,0,1
16,Male,22,51000,79,Healthcare,1,2
17,Female,35,29000,35,Homemaker,9,5
18,Male,20,89000,66,Healthcare,1,6
19,Male,52,20000,29,Entertainment,1,4
20,Female,35,62000,98,Artist,0,1
21,Male,35,96000,35,Homemaker,12,1
22,Male,25,4000,73,Healthcare,3,4
